component_id	start_pos	end_pos	span_bp	n_sites	n_fragments	solver	objective	margin
phase6_comp_1	45092742	45092852	111	2	10	exact	0.000000	6.46667
phase6_comp_2	45098514	45099429	916	4	38	exact	0.000000	2.300001
phase6_comp_3	45160291	45161218	928	2	1	exact	0.000000	0.766667
phase6_comp_4	45164871	45165621	751	2	1	exact	0.000000	0.366667
phase6_comp_5	45174965	45175673	709	3	10	exact	0.000000	1.533334
phase6_comp_6	45304381	45305320	940	4	19	exact	0.000000	3.066668
phase6_comp_7	45306060	45306512	453	3	10	exact	0.000000	3.433335
phase6_comp_8	45307345	45307570	226	3	34	exact	0.000000	9.566671
phase6_comp_9	45320728	45320751	24	2	25	exact	0.000000	19.233341
phase6_comp_10	45321829	45321830	2	2	21	exact	0.000000	15.93334
phase6_comp_11	45334071	45334108	38	2	23	exact	0.000000	17.633341
phase6_comp_12	45345097	45349463	4367	19	176	greedy_refine	0.000000	
phase6_comp_13	45427070	45427323	254	2	6	exact	0.000000	4.600002
phase6_comp_14	45429208	45429940	733	2	1	exact	0.000000	0.366667
phase6_comp_15	45438631	45438703	73	2	9	exact	0.000000	6.5000029999999995
phase6_comp_16	45445278	45446191	914	2	1	exact	0.000000	0.766667
phase6_comp_17	45451566	45451589	24	2	31	exact	0.000000	23.666676
phase6_comp_18	45452690	45455393	2704	13	94	exact	1.133334	0.766667
phase6_comp_19	45455746	45456942	1197	5	33	exact	0.000000	1.900001
phase6_comp_20	45458214	45459193	980	7	43	exact	0.000000	2.300001
phase6_comp_21	45463661	45463808	148	2	8	exact	0.000000	5.7333359999999995
phase6_comp_22	45464644	45464843	200	2	4	exact	0.000000	3.066668
phase6_comp_23	45467396	45468533	1138	5	33	exact	0.000000	2.300001
phase6_comp_24	45472489	45472605	117	2	10	exact	0.000000	7.55167
phase6_comp_25	45474256	45475489	1234	4	9	exact	0.000000	1.533334
phase6_comp_26	45476152	45477098	947	3	2	exact	0.000000	0.766667
