pos	block_id	pred_state	accepted	support	conflict	margin	confidence	panel_samples	panel_haplotypes	anchors	best_vs_second_margin	n_block_candidates
45085411	phase6_comp_2	1	1	3852.621082363349	640.9135856188918	3211.7074967444573	0.8573698362259025	4091	16364	2	2726.632572899033	2
45094986	phase6_comp_2	1	0	14255.187046833906	4195.465966608432	10059.721080225474	0.7726115187602413	4091	32728	4	9360.95538381627	2
45096238	phase6_comp_2	1	1	20236.8667181881	1252.1564128388363	18984.71030534926	0.9417304171900251	4091	32728	4	17667.488817469093	2
45159138	phase6_comp_4	-1	1	6536.09077780928	838.1761204015356	5697.914657407744	0.8863377021782466	4091	16364	2	4910.936002927482	2
45184181	phase6_comp_5	-1	0	7020.308409992116	1788.046530769803	5232.261879222313	0.7970056221854364	4091	24546	3	3790.8357332121022	2
45195455	phase6_comp_5	-1	0	1339.4802679365316	311.31466386893476	1028.1656040675969	0.811415301882196	4091	8182	1	1028.1656040675969	1
45290809	phase6_comp_6	1	0	2712.905900443289	1675.9363849793833	1036.9695154639055	0.6181370220237977	4091	16364	2	1036.9695154639055	1
45317515	phase6_comp_10	1	0	5436.684754513459	3347.469009591838	2089.2157449216206	0.6189195795648972	4091	16364	2	171.83118886268767	3
45318728	phase6_comp_9	-1	0	7079.584731799881	4589.846931511035	2489.7378002888463	0.6066777659839538	4091	16364	2	388.8922698526976	3
45344044	phase6_comp_12	1	0	12076.01435589102	7718.003975903118	4358.0103799879025	0.6100840240454827	4091	24546	3	2954.1500981475474	2
45364719	phase6_comp_12	1	0	4790.980786385514	3132.6121406694992	1658.3686457160147	0.6046475166621404	4091	32728	4	1658.3686457160147	1
45412571	phase6_comp_14	1	0	2149.8372535807866	1569.7757672592256	580.061486321561	0.5779733648462393	4091	16364	2	419.74505859187457	2
45416888	phase6_comp_14	1	0	2646.6638077627995	1981.576318656607	665.0874891061924	0.5718510136617232	4091	16364	2	538.5219523773301	2
45424352	phase6_comp_13	1	0	8029.268299581628	2403.682495847384	5625.585803734244	0.769606648878234	4091	16364	2	3785.2427787952056	2
45430861	phase6_comp_14	-1	0	9937.461434515693	3120.9500925980237	6816.51134191767	0.7610007858828873	4091	16364	2	3839.69827857559	4
45437169	phase6_comp_15	1	0	9244.012250468819	3347.9408757958117	5896.071374673007	0.7341206052607846	4091	16364	2	3152.79137017012	4
45441723	phase6_comp_15	1	0	7491.424984250991	2665.1830014682746	4826.241982782716	0.737591230732183	4091	16364	2	2780.7764036069952	4
45442527	phase6_comp_15	1	0	6806.236221357145	2428.6792234390655	4377.55699791808	0.7370112116394522	4091	16364	2	2466.015087968419	4
45444029	phase6_comp_15	1	0	5821.212041960086	2075.0423108004234	3746.1697311596627	0.737211819921303	4091	16364	2	1953.5665265381215	4
45448489	phase6_comp_17	1	0	7611.395946727301	2504.2207181800254	5107.175228547276	0.752440132803019	4091	16364	2	441.2826105799668	4
45450323	phase6_comp_17	1	1	12418.854792434373	662.9705512753233	11755.88424115905	0.9493212503716764	4091	16364	2	5540.926043324305	4
45461458	phase6_comp_20	1	0	18913.320353591444	3360.024072612011	15553.296280979434	0.8491459563360807	4091	32728	4	7864.086508369469	3
45462491	phase6_comp_20	1	0	16543.202969570913	2984.23723811261	13558.965731458304	0.8471772435929215	4091	32728	4	489.1071599196912	3
45465735	phase6_comp_23	1	1	15427.101671776922	1906.396077653103	13520.705594123818	0.8900166541564993	4091	24546	3	2902.6838681947247	3
45466688	phase6_comp_23	1	0	16967.117386378733	3070.0910947608154	13897.026291617918	0.8467804985085321	4091	24546	3	2461.1288397713124	3
45473485	phase6_comp_25	1	1	21931.76022229098	3844.1310441923806	18087.6291780986	0.8508633123700773	4091	32728	4	11121.501817213226	3
45480254	phase6_comp_27	1	1	12180.405430006853	242.79854355621382	11937.60688645064	0.980456044666666	4091	16364	2	2149.8430655427164	4
45481252	phase6_comp_28	1	0	12890.18225757465	3927.5380363490995	8962.64422122555	0.7664643026696001	4091	24546	3	44.263987683094456	4
45484564	phase6_comp_28	-1	1	18260.01757528863	2219.794830068165	16040.222745220466	0.8916105877274763	4091	24546	3	9461.975869590577	4
45494213	phase6_comp_30	1	0	8175.321991056176	2342.9310319340775	5832.390959122098	0.7772509344647804	4091	16364	2	470.79868670222913	3
45494727	phase6_comp_32	1	0	12103.870572634356	6392.000022331035	5711.870550303321	0.6544093456151802	4091	32728	4	257.97165966015837	3
45497123	phase6_comp_32	-1	0	15735.09137961672	9657.900088589693	6077.191291027028	0.6196627679459517	4091	32728	4	2015.024944439865	3
45506881	phase6_comp_34	1	0	17630.782607541692	5363.703967973406	12267.078639568286	0.7667395638359343	4091	32728	4	3248.350168164301	3
45524080	phase6_comp_39	-1	1	7740.554096341484	870.8417914021115	6869.712304939372	0.8988733298579895	4091	16364	2	725.8230047330371	4
45538650	phase6_comp_45	1	1	10413.571696261532	1378.841057854963	9034.730638406569	0.8830738809262221	4091	16364	2	5114.218447275959	3
45540664	phase6_comp_45	1	0	6250.870518925874	2886.6372739925587	3364.2332449333157	0.6840892134472704	4091	16364	2	630.67985634259	3
45542653	phase6_comp_47	1	0	4684.436981105163	1788.7027035001147	2895.734277605048	0.7236730874579934	4091	16364	2	465.4640416136335	3
45543797	phase6_comp_45	-1	0	4205.158542970115	2562.9571792954207	1642.2013636746947	0.6213189483649216	4091	16364	2	293.00744243477357	3
45545850	phase6_comp_47	1	0	6095.4870776941825	2572.3287313843966	3523.158346309786	0.7032321881263135	4091	16364	2	1889.0045672448978	3
45547503	phase6_comp_47	-1	0	6269.647111351745	4242.116757702384	2027.5303536493602	0.5964410149859941	4091	16364	2	770.1490272835629	3
45581184	phase6_comp_52	1	0	13652.080875808666	4390.728005671773	9261.352870136892	0.7566494200258077	4091	32728	4	7204.6974647209645	2
45582465	phase6_comp_51	-1	0	12431.517655307623	5866.055156834289	6565.462498473335	0.6794080167320504	4091	32728	4	6096.181592866522	2
45582884	phase6_comp_52	1	0	16719.83928214277	5491.064159195841	11228.775122946929	0.7527761905904308	4091	32728	4	7222.449675140649	2
45588152	phase6_comp_54	-1	0	18088.889232025984	9809.960722298038	8278.928509727946	0.6483740104571013	4091	32728	4	1115.4122640345722	2
45601653	phase6_comp_55	1	0	12029.509538374137	7971.965219281057	4057.54431909308	0.6014311286606536	4091	32728	4	2772.6433168656185	2
45607208	phase6_comp_55	1	0	18495.784883304994	4771.929054386504	13723.855828918491	0.7949119940547134	4091	32728	4	2300.056312239034	3
45608348	phase6_comp_55	1	0	16229.19165929818	3785.342755579427	12443.848903718754	0.810870306692439	4091	32728	4	9530.326332707427	3
45612945	phase6_comp_56	1	1	9541.928352942441	1.166352322814114	9540.762000619627	0.9998777804937667	4091	16364	2	6832.337940170193	4
45614011	phase6_comp_56	1	1	8003.213215168905	484.4459587145451	7518.76725645436	0.9429234905891147	4091	16364	2	4560.666797021957	4
45617496	phase6_comp_58	1	0	9247.226886268712	1750.1189013262044	7497.107984942508	0.8408598824545145	4091	16364	2	3013.653605472473	4
45618744	phase6_comp_58	1	0	7926.118520431641	1491.023338711418	6435.095181720222	0.8416692281996591	4091	16364	2	959.0477564938474	4
45621662	phase6_comp_60	1	1	12385.627917215943	756.5336206732104	11629.094296542733	0.9424346125641428	4091	16364	2	10495.898410685499	2
45629133	phase6_comp_60	-1	0	4213.758885174919	1759.3830411073714	2454.3758440675474	0.7054509899779965	4091	16364	2	379.322863573163	2
45632334	phase6_comp_60	1	1	4841.064412944624	0.5917448249534073	4840.47266811967	0.9998777804937667	4091	16364	2	3862.8904040182315	3
45636248	phase6_comp_61	1	0	4164.889578136047	2342.5659139783024	1822.3236641577446	0.6400181427568742	4091	24546	3	207.01278690945264	3
45639421	phase6_comp_61	1	0	4996.442162933691	2827.4933940620017	2168.9487688716895	0.6386098308882635	4091	24546	3	779.8293976483255	2
