pos	block_id	phase_state	local_phase_state	confidence	phase5_source	phase5_original_fill_state	phase5_interval_orientation	phase5_interval_left	phase5_interval_right	phase5b_old_block_id	phase5b_grafted_block_id	phase5b_anchor_pos	phase5b_anchor_state	phase5b_mode
736923	block_1	1	1	0.375000	tagged_backbone									
850893	unassigned	0	0	0.000000	missing									
885657	block_2	-1	-1	0.253580	tagged_backbone									
908025	unassigned	0	0	0.000000	missing									
916010	unassigned	0	0	0.000000	missing									
928128	block_3	-1	-1	0.375000	tagged_backbone									
928253	block_3	-1	-1	0.375000	tagged_backbone									
933038	block_3	-1	-1	0.375000	tagged_backbone									
940256	unassigned	0	0	0.000000	missing									
940387	block_4	-1	-1	0.375000	tagged_backbone									
940820	block_4	1	1	0.375000	tagged_backbone									
942934	block_4	1	1	0.375000	tagged_backbone									
946870	block_4	1	1	0.375000	tagged_backbone									
949387	block_4	-1	-1	0.375000	tagged_backbone									
964918	block_4	1	1	0.249606	tagged_backbone									
966728	block_4	1	1	0.249606	tagged_backbone									
970892	unassigned	0	0	0.000000	missing									
979459	block_5	1	1	0.249659	tagged_backbone									
984039	block_5	1	1	0.249659	tagged_backbone									
996133	block_5	1	1	0.249659	tagged_backbone									
1000552	block_5	1	1	0.249775	tagged_backbone									
1001333	block_5	1	1	0.249775	tagged_backbone									
1016354	block_5	1	1	0.249775	tagged_backbone									
1047464	block_5	-1	-1	0.249775	tagged_backbone									
1050066	unassigned	0	0	0.000000	missing									
1068804	block_6	1	1	0.249953	tagged_backbone									
1072326	block_6	1	1	0.249953	tagged_backbone									
1079763	block_6	-1	-1	0.375000	tagged_backbone									
1089099	block_6	1	1	0.250194	tagged_backbone									
1101300	block_6	1	1	0.250194	tagged_backbone									
1101437	block_6	1	1	0.250194	tagged_backbone									
1101667	block_6	-1	-1	0.375000	tagged_backbone									
1112601	unassigned	0	0	0.000000	missing									
1122609	block_7	1	1	0.375000	tagged_backbone									
1124794	block_8	-1	-1	0.000000	tagged_spine_readbridge_fill	-1	1	1122609	1124975	unassigned	block_8	1124975	-1	nearest_block
1124975	block_8	-1	-1	0.375000	tagged_backbone									
1125786	block_8	1	1	0.375000	tagged_backbone									
1126414	block_8	-1	-1	0.375000	tagged_backbone									
1126468	block_8	-1	-1	0.000000	tagged_spine_readbridge_fill	-1	1	1126414	1129916	unassigned	block_8	1126414	-1	nearest_block
1127258	unassigned	0	0	0.000000	missing									
1127686	unassigned	0	0	0.000000	missing									
1127861	unassigned	0	0	0.000000	missing									
1129916	block_9	-1	-1	0.128106	tagged_backbone									
1130649	block_9	-1	-1	1.000000	tagged_backbone									
1130879	block_9	-1	-1	1.000000	tagged_backbone									
1130902	block_9	-1	-1	1.000000	tagged_backbone									
1131023	block_9	-1	-1	1.000000	tagged_backbone									
1131439	block_9	-1	-1	1.000000	tagged_backbone									
