split	label	method	truth_sites	variant_sites	read_backbone_phased_sites	method_phased_sites	method_filled_sites	method_panel_added_sites	method_panel_added_with_read_evidence_sites	method_panel_added_without_read_evidence_sites	method_preserved_read_sites	method_changed_read_sites	method_lost_read_sites	panel_exact_variant_sites	panel_missing_variant_sites	panel_allele_mismatch_variant_sites	panel_nonbiallelic_variant_sites	panel_needed_sites	panel_found_sites	panel_missing_needed_sites	panel_allele_mismatch_needed_records	panel_nonbiallelic_needed_records	candidate_unphased_positions	accepted_sites	panel_added_panel_exact_sites	panel_added_panel_missing_sites	panel_added_panel_allele_mismatch_sites	panel_added_panel_nonbiallelic_sites	panel_added_pct_truth_sites	panel_added_pct_method_phased_sites	panel_exact_pct_variant_sites	panel_found_pct_needed_sites
hard_chr6	chr6_25_30mb	AWPhase_Phase6C_Rust_WMEC	6076	6076	5076	5076	0	0	0	0	5076	0	0	4469	1536	71	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	73.55167873601053	0.0
hard_chr6	chr6_25_30mb	AWPhase_Phase7A_current	6076	6076	5076	5076	0	0	0	0	5076	0	0	4469	1536	71	0	8	5	3	0	0	8	0	0	0	0	0	0.0	0.0	73.55167873601053	62.5
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT	6076	6076	5076	5542	466	466	0	466	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	469	466	0	0	0	7.669519420671494	8.408516780945508	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM	6076	6076	5076	5549	473	473	0	473	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	476	473	0	0	0	7.784726793943384	8.5240583888989	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V2_exact_prefix	6076	6076	5076	5545	469	469	0	469	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	472	469	0	0	0	7.71889400921659	8.458070333633904	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	6076	6076	5076	5570	494	494	0	494	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	497	494	0	0	0	8.130348913759052	8.868940754039498	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	6076	6076	5076	5545	469	469	0	469	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	472	469	0	0	0	7.71889400921659	8.458070333633904	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	6076	6076	5076	5570	494	494	0	494	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	497	494	0	0	0	8.130348913759052	8.868940754039498	73.55167873601053	73.71250216750477
hard_chr6	chr6_30_35mb	AWPhase_Phase6C_Rust_WMEC	10287	10287	8844	8844	0	0	0	0	8844	0	0	8316	1897	74	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	80.83989501312335	0.0
hard_chr6	chr6_30_35mb	AWPhase_Phase7A_current	10287	10287	8844	8844	0	0	0	0	8844	0	0	8316	1897	74	0	22	1	21	0	0	8	0	0	0	0	0	0.0	0.0	80.83989501312335	4.545454545454546
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT	10287	10287	8844	9667	823	823	0	823	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	894	823	0	0	0	8.000388840283854	8.513499534498811	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM	10287	10287	8844	9673	829	829	0	829	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	901	829	0	0	0	8.058714882861864	8.570247079499639	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V2_exact_prefix	10287	10287	8844	9669	825	825	0	825	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	896	825	0	0	0	8.019830854476524	8.532423208191126	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	10287	10287	8844	9695	851	851	0	851	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	924	851	0	0	0	8.272577038981238	8.777720474471376	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	10287	10287	8844	9669	825	825	0	825	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	896	825	0	0	0	8.019830854476524	8.532423208191126	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	10287	10287	8844	9695	851	851	0	851	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	924	851	0	0	0	8.272577038981238	8.777720474471376	80.83989501312335	69.13415495721799
