split	label	method	n_truth_het_sites_in_bed	n_pred_sites_nonzero	n_exact_overlap_sites_phased	pct_truth_sites_phased	hamming_errors	hamming_denominator	hamming_error_rate	switch_errors	switch_denominator	switch_error_rate	phased_site_accuracy_pct	truth_correct_pct	raw_block_n50_bp	median_block_span_bp	phasing_coverage_pct	runtime_seconds	path
hard_chr6	chr6_25_30mb	AWPhase_Phase6C_Rust_WMEC	6076	5125	5076	0.8354180381830152	70	5076	0.013790386130811664	18	4971	0.003621001810500905	98.62096138691884	82.38973008558263	55382	30707	83.54180381830152	13.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase6c.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase7A_current	6076	5125	5076	0.8354180381830152	70	5076	0.013790386130811664	18	4971	0.003621001810500905	98.62096138691884	82.38973008558263	55382	30707	83.54180381830152	15.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase7a.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT	6076	5594	5542	0.9121132323897301	76	5542	0.013713460844460484	18	5437	0.0033106492551039177	98.62865391555395	89.96050032916393	55382	30707	91.21132323897301	12.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase8pbwt.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM	6076	5601	5549	0.9132653061224489	76	5549	0.013696161470535232	18	5444	0.0033063923585598823	98.63038385294648	90.07570770243582	55382	30707	91.3265306122449	15.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V2_exact_prefix	6076	5597	5545	0.912606978275181	76	5545	0.013706041478809739	18	5440	0.0033088235294117647	98.62939585211903	90.00987491770903	55382	30707	91.2606978275181	16.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase8pbwt_v2.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	6076	5622	5570	0.9167215273206056	73	5570	0.01310592459605027	20	5465	0.0036596523330283625	98.68940754039497	90.47070441079657	55587	30707	91.67215273206057	22.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	6076	5597	5545	0.912606978275181	76	5545	0.013706041478809739	18	5440	0.0033088235294117647	98.62939585211903	90.00987491770903	55382	30707	91.2606978275181	17.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase8pbwt_v3.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	6076	5622	5570	0.9167215273206056	73	5570	0.01310592459605027	20	5465	0.0036596523330283625	98.68940754039497	90.47070441079657	55587	30707	91.67215273206057	23.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs64_phase7a/truth_eval_phase8pbwt_hmm_v3.metrics.json
hard_chr6	chr6_25_30mb	WhatsHap_Illumina30x	6076	5200	5127	0.8438117182356814	68	5127	0.013263116832455627	60	4338	0.013831258644536652	98.67368831675444	83.26201448321264	2242	563	84.38117182356814	14.0	baselines/whatshap/chr6_25_30mb_whatshap_illumina30x/truth_eval.metrics.json
hard_chr6	chr6_25_30mb	WhatsHap_PacBio_HiFi30x	6076	6150	6063	0.9978604344963792	48	6063	0.007916872835230085	49	6044	0.008107213765718067	99.20831271647698	98.9960500329164	1392213	59360	99.78604344963792	18.0	baselines/whatshap/chr6_25_30mb_whatshap_pacbio/truth_eval.metrics.json
