method	n_windows	windows	total_truth_sites	total_pred_sites_nonzero	total_exact_overlap_sites_phased	weighted_phasing_coverage_pct	total_hamming_errors	weighted_hamming_error_rate	total_switch_errors	weighted_switch_error_rate	weighted_phased_site_accuracy_pct	weighted_truth_correct_pct	mean_truth_correct_pct	mean_hamming_error_rate	mean_switch_error_rate	mean_raw_block_n50_bp	median_raw_block_n50_bp	stddev_raw_block_n50_bp	total_runtime_seconds	mean_runtime_seconds	median_runtime_seconds	stddev_runtime_seconds
AWPhase_Phase6C_Rust_WMEC	2	chr6_25_30mb,chr6_30_35mb	16363	16877	13920	85.06997494347003	259	0.01860632183908046	44	0.0032222629073599416	98.13936781609195	83.48713561082931	83.26252325218181	0.017580403377481815	0.003307506893274405	50535.5	50535.5	4846.5	25.0	12.5	12.5	0.5
AWPhase_Phase7A_current	2	chr6_25_30mb,chr6_30_35mb	16363	16877	13920	85.06997494347003	259	0.01860632183908046	44	0.0032222629073599416	98.13936781609195	83.48713561082931	83.26252325218181	0.017580403377481815	0.003307506893274405	50535.5	50535.5	4846.5	29.0	14.5	14.5	0.5
AWPhase_Phase8_PBWT	2	chr6_25_30mb,chr6_30_35mb	16363	18240	15209	92.94750351402554	285	0.018738904595962915	44	0.0029443254817987153	98.1261095404037	91.20576911324329	90.95089272315104	0.017666702492158865	0.003022738112352632	50535.5	50535.5	4846.5	28.0	14.0	14.0	2.0
AWPhase_Phase8_PBWT_HMM	2	chr6_25_30mb,chr6_30_35mb	16363	18254	15222	93.02695104809631	285	0.018722901064249113	44	0.002941766397004747	98.12770989357509	91.28521664731406	91.03765943107598	0.017651347560451117	0.0030197472147051488	50535.5	50535.5	4846.5	36.0	18.0	18.0	3.0
AWPhase_Phase8_PBWT_HMM_V2_forward_backward	2	chr6_25_30mb,chr6_30_35mb	16363	18298	15265	93.28973904540732	284	0.018604651162790697	53	0.003533333333333333	98.13953488372094	91.55411599339975	91.33236785621972	0.01743486018353313	0.003560292868139771	50638.0	50638.0	4949.0	56.0	28.0	28.0	6.0
AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	2	chr6_25_30mb,chr6_30_35mb	16363	18298	15265	93.28973904540732	284	0.018604651162790697	53	0.003533333333333333	98.13953488372094	91.55411599339975	91.33236785621972	0.01743486018353313	0.003560292868139771	50638.0	50638.0	4949.0	60.0	30.0	30.0	7.0
AWPhase_Phase8_PBWT_V2_exact_prefix	2	chr6_25_30mb,chr6_30_35mb	16363	18245	15214	92.97806025789892	287	0.018864204022610753	45	0.0030102347983142685	98.11357959773892	91.22410315956732	90.97558001742358	0.01776418011472807	0.0030741194100944616	50286.5	50286.5	5095.5	39.0	19.5	19.5	3.5
AWPhase_Phase8_PBWT_V3_bidirectional_prefix	2	chr6_25_30mb,chr6_30_35mb	16363	18245	15214	92.97806025789892	287	0.018864204022610753	45	0.0030102347983142685	98.11357959773892	91.22410315956732	90.97558001742358	0.01776418011472807	0.0030741194100944616	50286.5	50286.5	5095.5	42.0	21.0	21.0	4.0
WhatsHap_Illumina30x	2	chr6_25_30mb,chr6_30_35mb	16363	18153	14770	90.26462140194342	335	0.022681110358835476	154	0.01160774854903143	97.73188896411645	88.21731956242743	87.20308850922564	0.020475797760830118	0.012179376662396	1734427.0	1734427.0	1732185.0	42.0	21.0	21.0	7.0
WhatsHap_PacBio_HiFi30x	2	chr6_25_30mb,chr6_30_35mb	16363	19727	16341	99.86555032695716	97	0.005935989229545315	106	0.006501073290401717	99.40640107704547	99.27274949581373	99.21611581066449	0.006342168661242207	0.006831113948447183	924426.5	924426.5	467786.5	44.0	22.0	22.0	4.0
